arquivo,slug,camel,categoria,decisao,uso
Accounting-Bill--Streamline-Ultimate.svg,accounting-bill,accountingBill,generico,new,
Actions-Authentication-Squares-Arrow--Streamline-Ultimate.svg,authentication,authentication,generico,new,Autenticação
Add--Streamline-Ultimate.svg,add,add,upgrade,upgrade,substitui add
Add-Square--Streamline-Ultimate.svg,add-square,addSquare,generico,new,
Ai-Email-Generator-Spark--Streamline-Ultimate.svg,ai-email-generator-spark,aiEmailGeneratorSpark,generico,new,
Ai-File-Spark--Streamline-Ultimate.svg,ai-file-spark,aiFileSpark,generico,new,
Ai-Folder-Spark--Streamline-Ultimate.svg,ai-folder-spark,aiFolderSpark,generico,new,
Ai-Landscape-Image-Spark--Streamline-Ultimate.svg,ai-landscape-image-spark,aiLandscapeImageSpark,generico,new,
Ai-Map-Generating-Spark--Streamline-Ultimate.svg,ai-map-generating-spark,aiMapGeneratingSpark,generico,new,
Ai-Prompt-Spark--Streamline-Ultimate.svg,ai-prompt-spark,aiPromptSpark,generico,new,
Ai-Tagging-Spark--Streamline-Ultimate.svg,ai-tagging-spark,aiTaggingSpark,generico,new,
Ai-Upscale-Spark--Streamline-Ultimate.svg,ai-upscale-spark,aiUpscaleSpark,generico,new,
Ai-Video-Camera-Spark--Streamline-Ultimate.svg,ai-video-camera-spark,aiVideoCameraSpark,generico,new,
Ai-Video-Spark--Streamline-Ultimate.svg,ai-video-spark,aiVideoSpark,generico,new,
Airplane-Mode-Phone--Streamline-Ultimate.svg,airplane-mode-phone,airplaneModePhone,generico,new,
Airplane-Plane-Mode--Streamline-Ultimate.svg,airplane-plane-mode,airplanePlaneMode,generico,new,
Alarm-Bell--Streamline-Ultimate.svg,bell,bell,upgrade,upgrade,substitui bell
Alarm-Bell-Check--Streamline-Ultimate.svg,bell-check,bellCheck,generico,new,
Alarm-Bell-Cog-Setting--Streamline-Ultimate.svg,bell-cog-setting,bellCogSetting,generico,new,
Alarm-Bell-Disable--Streamline-Ultimate.svg,bell-disable,bellDisable,generico,new,
Alarm-Bell-Off--Streamline-Ultimate.svg,bell-off,bellOff,generico,new,
Analytics-Bars--Streamline-Ultimate.svg,analytics-bars,analyticsBars,generico,new,
Analytics-Graph-Bar-1--Streamline-Ultimate.svg,analytics-graph-bar,analyticsGraphBar,generico,new,
Analytics-Pie-2--Streamline-Ultimate.svg,analytics-pie,analyticsPie,generico,new,
Android-1--Streamline-Ultimate.svg,android,android,generico,new,
App-Store-Logo--Streamline-Ultimate.svg,app-store-logo,appStoreLogo,generico,new,
App-Window--Streamline-Ultimate.svg,app-window,appWindow,generico,new,
App-Window-Check--Streamline-Ultimate.svg,app-window-check,appWindowCheck,generico,new,
App-Window-Clock--Streamline-Ultimate.svg,app-window-clock,appWindowClock,generico,new,
App-Window-Remove--Streamline-Ultimate.svg,app-window-remove,appWindowRemove,generico,new,
Apple-Logo--Streamline-Ultimate.svg,apple-logo,appleLogo,generico,new,
Apple-Pay--Streamline-Ultimate.svg,apple-pay,applePay,generico,new,
Archive--Streamline-Ultimate.svg,archive,archive,generico,new,
Arrange-Letter--Streamline-Ultimate.svg,arrange-letter,arrangeLetter,generico,new,
Arrange-Letter-Descending--Streamline-Ultimate.svg,arrange-letter-descending,arrangeLetterDescending,generico,new,
Arrange-Number--Streamline-Ultimate.svg,arrange-number,arrangeNumber,generico,new,
Arrange-Number-Descending--Streamline-Ultimate.svg,arrange-number-descending,arrangeNumberDescending,generico,new,
Arrow-Button-Down-1--Streamline-Ultimate.svg,arrow-button-down,arrowButtonDown,generico,new,
Arrow-Button-Left-1--Streamline-Ultimate.svg,arrow-button-left,arrowButtonLeft,generico,new,
Arrow-Button-Right-1--Streamline-Ultimate.svg,arrow-button-right,arrowButtonRight,generico,new,
Arrow-Button-Up-1--Streamline-Ultimate.svg,arrow-button-up,arrowButtonUp,generico,new,
Arrow-Circle-Down--Streamline-Ultimate.svg,arrow-circle-down,arrowCircleDown,generico,new,
Arrow-Circle-Left--Streamline-Ultimate.svg,arrow-circle-left,arrowCircleLeft,generico,new,
Arrow-Circle-Right--Streamline-Ultimate.svg,arrow-circle-right,arrowCircleRight,generico,new,
Arrow-Circle-Up--Streamline-Ultimate.svg,arrow-circle-up,arrowCircleUp,generico,new,
Arrow-Down--Streamline-Ultimate.svg,arrow-down,arrowDown,generico,new,
Arrow-Down-1--Streamline-Ultimate.svg,arrow-down-1,arrowDown1,generico,new,
Arrow-Left--Streamline-Ultimate.svg,arrow-left,arrowLeft,generico,new,
Arrow-Left-1--Streamline-Ultimate.svg,arrow-left-1,arrowLeft1,generico,new,
Arrow-Rectangle-Down--Streamline-Ultimate.svg,arrow-rectangle-down,arrowRectangleDown,generico,new,
Arrow-Rectangle-Left--Streamline-Ultimate.svg,arrow-rectangle-left,arrowRectangleLeft,generico,new,
